event_simpleName,normalized_by_ta,cim_data_models,in_eventtype,in_eval,field_count
AccessoryConnected,NO,,,,21
ActiveDirectoryAccountCreated,NO,,,,13
AdditionalHostInfo,NO,,,,17
AgentConnect,NO,,,,23
AgentOnline,NO,,,,39
AgenticSessionStart,NO,,,,26
AppProtocolDetected,NO,,,,16
AppleScriptFileWritten,NO,,,,23
AsepFileChange,NO,,,,19
AsepFileChangeScanInfo,NO,,,,23
AsepKeyUpdate,yes,Endpoint.Registry,yes,yes,24
AsepValueUpdate,yes,Endpoint.Registry,yes,yes,31
AsifFileWritten,NO,,,,23
AssociateIndicator,yes,Alerts.Alerts,yes,yes,0
AwsEc2Instance,NO,,,,24
AzureIpConfiguration,NO,,,,18
AzurePublicIpAddress,NO,,,,18
AzureVirtualMachine,NO,,,,21
BITSJobCreated,NO,,,,26
BZip2FileWritten,NO,,,,23
BillingInfo,NO,,,,19
BmpFileWritten,NO,,,,27
BrowserInjectedThread,NO,,,,25
CabFileWritten,NO,,,,27
ChannelActive,NO,,,,17
ChannelDataDownloadComplete,NO,,,,22
ChannelVersionRequired,NO,,,,17
ClassifiedModuleLoad,NO,,,,37
CloudSecurityIOMEvaluation,NO,,,,41
CommandHistory,yes,Endpoint.Processes,yes,yes,25
ConfigDownloadComplete,NO,,,,20
ConfigStateUpdate,NO,,,,13
ConfigurationProfileModified,NO,,,,26
CreateProcessArgs,NO,,,,17
CreateService,yes,Endpoint.Services,yes,yes,0
CreateSocket,NO,,,,22
CriticalEnvironmentVariableChanged,yes,Change.Account_Changes,yes,yes,18
CriticalFileAccessed,yes,Endpoint.Filesystem,yes,yes,20
CriticalFileModified,NO,,,,22
CrxFileWritten,NO,,,,24
CurrentSystemTags,NO,,,,14
CustomIOAFileWrittenDetectionInfoEvent,NO,,,,24
DBusMessage,NO,,,,28
DCSyncAttempted,NO,,,,25
DNSRequestDetectInfo,NO,,,,26
DataEgress,NO,,,,29
DataEgressEnriched,NO,,,,20
DcBluetoothDeviceConnected,NO,,,,19
DcUsbConfigurationDescriptor,NO,,,,21
DcUsbDeviceConnected,NO,,,,42
DcUsbDeviceDisconnected,NO,,,,24
DcUsbEndpointDescriptor,NO,,,,21
DcUsbHIDDescriptor,NO,,,,20
DcUsbInterfaceDescriptor,NO,,,,24
DeliverLocalFXToCloud,NO,,,,25
DetectionExcluded,NO,,,,26
DirectoryCreate,yes,Endpoint.Filesystem,yes,yes,37
DiskCapacity,NO,,,,16
DllInjection,NO,,,,24
DmgFileWritten,NO,,,,24
DmpFileWritten,yes,Endpoint.Filesystem,yes,yes,34
DnsRequest,yes,Network_Resolution.DNS,yes,yes,28
DocumentProgramInjectedThread,NO,,,,25
DriverLoad,yes,Endpoint.Processes,yes,yes,40
DwgFileWritten,NO,,,,33
ELFFileWritten,yes,Endpoint.Filesystem,yes,yes,30
EmailFileWritten,NO,,,,27
EndOfProcess,yes,Endpoint.Processes,yes,yes,78
ErrorEvent,NO,,,,17
EtwComponentResponse,NO,,,,20
EventLogCleared,NO,,,,21
Event_AutomatedLeadSummaryEvent,NO,,,,35
Event_DataProtectionDetectionSummaryEvent,NO,,,,79
Event_DetectionSummaryEvent,NO,,,,70
Event_EppDetectionSummaryEvent,NO,,,,105
Event_FileIntegrityMonitorRuleMatchedEnriched,NO,,,,28
ExecutableDeleted,yes,Endpoint.Filesystem,yes,yes,23
FalconProcessHandleOpDetectInfo,NO,,,,38
FileCreateInfo,yes,Endpoint.Filesystem,yes,yes,21
FileDeleteInfo,NO,,,,18
FileDeleted,NO,,,,26
FileExtendedAttrOperation,NO,,,,24
FileIntegrityMonitorRuleMatched,NO,,,,44
FileOpenInfo,yes,Endpoint.Filesystem,yes,yes,21
FileRenameInfo,yes,Change.Endpoint_Changes,yes,yes,19
FileSystemOperationDetectInfo,NO,,,,24
FileVaultStatus,NO,,,,17
FileWrittenWithEntropyHigh,NO,,,,24
FirewallChangeOption,NO,,,,18
FirewallDeleteRule,NO,,,,16
FirewallDisabled,NO,,,,15
FirewallEnabled,NO,,,,15
FirewallRuleIP4Matched,NO,,,,32
FirewallSetRule,NO,,,,17
FirewallSetRuleIP4,NO,,,,27
FirewallSetRuleIP6,NO,,,,29
FirmwareAnalysisStatus,NO,,,,18
FirmwareImageAnalyzed,NO,,,,20
FsPostOpenSnapshotFile,NO,,,,35
FsVolumeMounted,yes,Endpoint.Filesystem,yes,yes,53
FsVolumeUnmounted,NO,,,,21
GcpComputeInstance,NO,,,,21
GcpComputeNetworkInterface,NO,,,,20
