cim_field,event_count,event_simpleNames
action,42,AsepKeyUpdate;AsepValueUpdate;CommandHistory;CriticalEnvironmentVariableChanged;CriticalFileAccessed;DirectoryCreate;DmpFileWritten;DriverLoad;ELFFileWritten;EndOfProcess;ExecutableDeleted;FileCreateInfo;FileOpenInfo;FileRenameInfo;FsVolumeMounted;ImageHash;InjectedThread;InstalledApplication;KernelModeLoadImage;LFODownloadConfirmation;NewExecutableRenamed;NewExecutableWritten;NewScriptWritten;PackedExecutableWritten;PeFileWritten;PeVersionInfo;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;QuarantinedFile;QuarantinedFileState;RarFileWritten;RemovableMediaVolumeMounted;ScreenshotTakenEtw;SensitiveWmiQuery;SyntheticProcessRollup2;UserLogoff;UserLogon;UserLogonFailed;UserLogonFailed2;WmiCreateProcess
additional_answer_count,1,DnsRequest
answer,1,DnsRequest
answer_count,1,DnsRequest
app,6,AssociateIndicator;ScriptControlDetectInfo;ScriptControlScanInfo;UserLogon;UserLogonFailed;UserLogonFailed2
authentication_method,2,UserLogon;UserLogonFailed2
category,2,QuarantinedFile;QuarantinedFileState
change_type,6,CriticalEnvironmentVariableChanged;FileRenameInfo;InstalledApplication;NewExecutableRenamed;SensitiveWmiQuery;UserLogoff
command,1,SensitiveWmiQuery
cpu_cores,1,SystemCapacity
cpu_count,1,SystemCapacity
cpu_mhz,1,SystemCapacity
creation_time,8,NetworkCloseIP4;NetworkCloseIP6;NetworkConnectIP4;NetworkConnectIP6;NetworkListenIP4;NetworkListenIP6;NetworkReceiveAcceptIP4;NetworkReceiveAcceptIP6
date,2,QuarantinedFile;QuarantinedFileState
description,8,AssociateIndicator;LocalIpAddressIP4;LocalIpAddressIP6;OsVersionInfo;ScheduledTaskRegistered;ScriptControlDetectInfo;ScriptControlScanInfo;UserIdentity
dest,66,AsepKeyUpdate;AsepValueUpdate;AssociateIndicator;CommandHistory;CreateService;CriticalEnvironmentVariableChanged;CriticalFileAccessed;DirectoryCreate;DmpFileWritten;DnsRequest;DriverLoad;ELFFileWritten;EndOfProcess;ExecutableDeleted;FileCreateInfo;FileOpenInfo;FileRenameInfo;FsVolumeMounted;HostInfo;HostedServiceStarted;ImageHash;InjectedThread;InstalledApplication;InstanceMetadata;KernelModeLoadImage;LFODownloadConfirmation;LocalIpAddressIP4;LocalIpAddressIP6;ModifyServiceBinary;NetworkCloseIP4;NetworkCloseIP6;NetworkConnectIP4;NetworkConnectIP6;NetworkListenIP4;NetworkListenIP6;NetworkReceiveAcceptIP4;NetworkReceiveAcceptIP6;NewExecutableRenamed;NewExecutableWritten;NewScriptWritten;OsVersionInfo;PackedExecutableWritten;PeFileWritten;PeVersionInfo;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;QuarantinedFile;QuarantinedFileState;RarFileWritten;RemovableMediaVolumeMounted;ScheduledTaskRegistered;ScreenshotTakenEtw;ScriptControlDetectInfo;ScriptControlScanInfo;SensitiveWmiQuery;ServiceStarted;SyntheticProcessRollup2;SystemCapacity;UserIdentity;UserLogoff;UserLogon;UserLogonFailed;UserLogonFailed2;WmiCreateProcess
dest_aid,66,AsepKeyUpdate;AsepValueUpdate;AssociateIndicator;CommandHistory;CreateService;CriticalEnvironmentVariableChanged;CriticalFileAccessed;DirectoryCreate;DmpFileWritten;DnsRequest;DriverLoad;ELFFileWritten;EndOfProcess;ExecutableDeleted;FileCreateInfo;FileOpenInfo;FileRenameInfo;FsVolumeMounted;HostInfo;HostedServiceStarted;ImageHash;InjectedThread;InstalledApplication;InstanceMetadata;KernelModeLoadImage;LFODownloadConfirmation;LocalIpAddressIP4;LocalIpAddressIP6;ModifyServiceBinary;NetworkCloseIP4;NetworkCloseIP6;NetworkConnectIP4;NetworkConnectIP6;NetworkListenIP4;NetworkListenIP6;NetworkReceiveAcceptIP4;NetworkReceiveAcceptIP6;NewExecutableRenamed;NewExecutableWritten;NewScriptWritten;OsVersionInfo;PackedExecutableWritten;PeFileWritten;PeVersionInfo;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;QuarantinedFile;QuarantinedFileState;RarFileWritten;RemovableMediaVolumeMounted;ScheduledTaskRegistered;ScreenshotTakenEtw;ScriptControlDetectInfo;ScriptControlScanInfo;SensitiveWmiQuery;ServiceStarted;SyntheticProcessRollup2;SystemCapacity;UserIdentity;UserLogoff;UserLogon;UserLogonFailed;UserLogonFailed2;WmiCreateProcess
dest_host,2,LocalIpAddressIP4;LocalIpAddressIP6
dest_host_aid,2,LocalIpAddressIP4;LocalIpAddressIP6
dest_ip,17,AsepKeyUpdate;AsepValueUpdate;CreateService;CriticalFileAccessed;DriverLoad;HostedServiceStarted;InjectedThread;ModifyServiceBinary;NewExecutableRenamed;RemovableMediaVolumeMounted;ScheduledTaskRegistered;ScreenshotTakenEtw;ScriptControlDetectInfo;ScriptControlScanInfo;SensitiveWmiQuery;UserLogonFailed2;WmiCreateProcess
dest_name,1,SensitiveWmiQuery
dest_nt_domain,2,UserLogoff;UserLogon
dest_port,8,NetworkCloseIP4;NetworkCloseIP6;NetworkConnectIP4;NetworkConnectIP6;NetworkListenIP4;NetworkListenIP6;NetworkReceiveAcceptIP4;NetworkReceiveAcceptIP6
dvc,6,CriticalEnvironmentVariableChanged;FileRenameInfo;InstalledApplication;NewExecutableRenamed;SensitiveWmiQuery;UserLogoff
dvc_aid,48,AsepKeyUpdate;AsepValueUpdate;CommandHistory;CreateService;CriticalEnvironmentVariableChanged;CriticalFileAccessed;DirectoryCreate;DriverLoad;ELFFileWritten;EndOfProcess;ExecutableDeleted;FileCreateInfo;FileOpenInfo;FileRenameInfo;HostInfo;HostedServiceStarted;ImageHash;InjectedThread;InstalledApplication;InstanceMetadata;KernelModeLoadImage;LFODownloadConfirmation;ModifyServiceBinary;NewExecutableRenamed;NewExecutableWritten;NewScriptWritten;OsVersionInfo;PackedExecutableWritten;PeFileWritten;PeVersionInfo;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;QuarantinedFile;QuarantinedFileState;RarFileWritten;ScheduledTaskRegistered;ScreenshotTakenEtw;SensitiveWmiQuery;ServiceStarted;SyntheticProcessRollup2;SystemCapacity;UserIdentity;UserLogoff;UserLogonFailed;UserLogonFailed2;WmiCreateProcess
enabled,6,HostInfo;InstanceMetadata;LocalIpAddressIP4;LocalIpAddressIP6;OsVersionInfo;UserIdentity
family,3,InstanceMetadata;OsVersionInfo;SystemCapacity
file_access_time,15,CriticalFileAccessed;DirectoryCreate;ELFFileWritten;ExecutableDeleted;FileCreateInfo;FileOpenInfo;FileRenameInfo;FsVolumeMounted;NewExecutableWritten;NewScriptWritten;PackedExecutableWritten;PeFileWritten;PeVersionInfo;RarFileWritten;RemovableMediaVolumeMounted
file_create_time,9,DirectoryCreate;DmpFileWritten;ELFFileWritten;FileCreateInfo;NewExecutableWritten;NewScriptWritten;PackedExecutableWritten;PeFileWritten;RarFileWritten
file_hash,9,ELFFileWritten;ExecutableDeleted;NewExecutableWritten;NewScriptWritten;PackedExecutableWritten;PeFileWritten;PeVersionInfo;QuarantinedFile;QuarantinedFileState
file_modify_time,9,DirectoryCreate;ExecutableDeleted;FileCreateInfo;FileOpenInfo;FileRenameInfo;NewExecutableWritten;NewScriptWritten;PackedExecutableWritten;PeFileWritten
file_name,19,CriticalFileAccessed;DirectoryCreate;DmpFileWritten;ELFFileWritten;ExecutableDeleted;FileCreateInfo;FileOpenInfo;FileRenameInfo;FsVolumeMounted;LFODownloadConfirmation;NewExecutableWritten;NewScriptWritten;PackedExecutableWritten;PeFileWritten;PeVersionInfo;QuarantinedFile;QuarantinedFileState;RarFileWritten;RemovableMediaVolumeMounted
file_path,18,CriticalFileAccessed;DirectoryCreate;DmpFileWritten;ELFFileWritten;ExecutableDeleted;FileCreateInfo;FileOpenInfo;FsVolumeMounted;LFODownloadConfirmation;NewExecutableWritten;NewScriptWritten;PackedExecutableWritten;PeFileWritten;PeVersionInfo;QuarantinedFile;QuarantinedFileState;RarFileWritten;RemovableMediaVolumeMounted
file_size,4,DmpFileWritten;NewExecutableWritten;NewScriptWritten;PeFileWritten
interface,2,LocalIpAddressIP4;LocalIpAddressIP6
ip,2,LocalIpAddressIP4;LocalIpAddressIP6
mac,2,LocalIpAddressIP4;LocalIpAddressIP6
message_type,1,DnsRequest
object,6,CriticalEnvironmentVariableChanged;FileRenameInfo;InstalledApplication;NewExecutableRenamed;SensitiveWmiQuery;UserLogoff
object_attrs,5,CriticalEnvironmentVariableChanged;FileRenameInfo;InstalledApplication;SensitiveWmiQuery;UserLogoff
object_category,5,CriticalEnvironmentVariableChanged;FileRenameInfo;InstalledApplication;SensitiveWmiQuery;UserLogoff
object_id,1,UserLogoff
object_path,3,FileRenameInfo;NewExecutableRenamed;SensitiveWmiQuery
original_file_name,1,PeVersionInfo
os,15,CommandHistory;DriverLoad;EndOfProcess;HostInfo;ImageHash;InjectedThread;KernelModeLoadImage;OsVersionInfo;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;ScreenshotTakenEtw;SyntheticProcessRollup2;WmiCreateProcess
parent_process_exec,2,ProcessBlocked;ProcessRollup2
parent_process_id,5,EndOfProcess;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;SyntheticProcessRollup2
parent_process_name,2,ProcessBlocked;ProcessRollup2
process,10,CommandHistory;ImageHash;KernelModeLoadImage;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;ScreenshotTakenEtw;SyntheticProcessRollup2;WmiCreateProcess
process_exec,10,CommandHistory;DriverLoad;ImageHash;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;ScreenshotTakenEtw;SyntheticProcessRollup2;WmiCreateProcess
process_guid,2,NewExecutableWritten;RemovableMediaVolumeMounted
process_hash,8,EndOfProcess;ImageHash;KernelModeLoadImage;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;SyntheticProcessRollup2
process_id,42,AsepKeyUpdate;AsepValueUpdate;CommandHistory;CreateService;CriticalFileAccessed;DirectoryCreate;DmpFileWritten;DriverLoad;ELFFileWritten;EndOfProcess;ExecutableDeleted;FileCreateInfo;FileOpenInfo;FileRenameInfo;FsVolumeMounted;ImageHash;InjectedThread;KernelModeLoadImage;ModifyServiceBinary;NetworkCloseIP4;NetworkCloseIP6;NetworkConnectIP4;NetworkConnectIP6;NetworkListenIP4;NetworkListenIP6;NetworkReceiveAcceptIP4;NetworkReceiveAcceptIP6;NewExecutableWritten;NewScriptWritten;PackedExecutableWritten;PeFileWritten;PeVersionInfo;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;RarFileWritten;RemovableMediaVolumeMounted;ScheduledTaskRegistered;ScreenshotTakenEtw;ServiceStarted;SyntheticProcessRollup2;WmiCreateProcess
process_integrity_level,7,CommandHistory;EndOfProcess;ImageHash;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;SyntheticProcessRollup2
process_name,10,CommandHistory;DriverLoad;ImageHash;KernelModeLoadImage;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ScreenshotTakenEtw;SyntheticProcessRollup2;WmiCreateProcess
process_path,10,DriverLoad;ImageHash;KernelModeLoadImage;PrivilegedProcessHandleFromUnsignedModule;ProcessBlocked;ProcessRollup2;ProcessRollup2Stats;ScreenshotTakenEtw;SyntheticProcessRollup2;WmiCreateProcess
query,1,DnsRequest
query_count,1,DnsRequest
query_type,1,DnsRequest
reason,3,UserLogon;UserLogonFailed;UserLogonFailed2
record_type,1,DnsRequest
registry_hive,2,AsepKeyUpdate;AsepValueUpdate
registry_path,2,AsepKeyUpdate;AsepValueUpdate
registry_value_data,1,AsepValueUpdate
registry_value_name,2,AsepKeyUpdate;AsepValueUpdate
registry_value_type,2,AsepKeyUpdate;AsepValueUpdate
reply_code,1,DnsRequest
reply_code_id,1,DnsRequest
result,5,CriticalEnvironmentVariableChanged;InstalledApplication;NewExecutableRenamed;SensitiveWmiQuery;UserLogoff
result_id,1,UserLogoff
serial,2,HostInfo;InstanceMetadata
service,5,CreateService;HostedServiceStarted;ModifyServiceBinary;ScheduledTaskRegistered;ServiceStarted
service_exec,5,CreateService;HostedServiceStarted;ModifyServiceBinary;ScheduledTaskRegistered;ServiceStarted
service_name,5,CreateService;HostedServiceStarted;ModifyServiceBinary;ScheduledTaskRegistered;ServiceStarted
service_path,5,CreateService;HostedServiceStarted;ModifyServiceBinary;ScheduledTaskRegistered;ServiceStarted
severity,2,QuarantinedFile;QuarantinedFileState
signature,4,AssociateIndicator;DnsRequest;ScriptControlDetectInfo;ScriptControlScanInfo
signature_id,1,QuarantinedFile
src,19,AssociateIndicator;CriticalEnvironmentVariableChanged;DnsRequest;FileRenameInfo;InstalledApplication;NetworkCloseIP4;NetworkCloseIP6;NetworkConnectIP4;NetworkConnectIP6;NetworkListenIP4;NetworkListenIP6;NetworkReceiveAcceptIP4;NetworkReceiveAcceptIP6;ScriptControlDetectInfo;ScriptControlScanInfo;UserLogoff;UserLogon;UserLogonFailed;UserLogonFailed2
