field,value,meaning,lookup_file
AccessoryConnectionType,0,BLUETOOTH,crowdstrike_AccessoryConnectionType.csv
AccessoryConnectionType,1,USB_HOST,crowdstrike_AccessoryConnectionType.csv
AccessoryConnectionType,2,USB_DEVICE,crowdstrike_AccessoryConnectionType.csv
AccountStatus,0,PROVISIONED,crowdstrike_AccountStatus.csv
AccountStatus,1,OPERATIONAL,crowdstrike_AccountStatus.csv
AccountStatus,2,REGRESSION,crowdstrike_AccountStatus.csv
AllocationType,4096,MEM_COMMIT,crowdstrike_AllocationType.csv
AllocationType,8192,MEM_RESERVE,crowdstrike_AllocationType.csv
AllocationType,16384,MEM_DECOMMIT,crowdstrike_AllocationType.csv
AllocationType,32768,MEM_RELEASE,crowdstrike_AllocationType.csv
AllocationType,65536,MEM_FREE,crowdstrike_AllocationType.csv
AllocationType,524288,MEM_RESET,crowdstrike_AllocationType.csv
AmsiRegistrationState,0,AMSI_REGISTRATION_DISABLED,crowdstrike_AmsiRegistrationState.csv
AmsiRegistrationState,1,AMSI_REGISTRATION_ENABLED,crowdstrike_AmsiRegistrationState.csv
AmsiStatusCode,1,AMSI_REGISTER_SUCCESS,crowdstrike_AmsiStatusCode.csv
AmsiStatusCode,2,AMSI_REGISTER_FAILED,crowdstrike_AmsiStatusCode.csv
AmsiStatusCode,3,AMSI_UNREGISTER_SUCCESS,crowdstrike_AmsiStatusCode.csv
AmsiStatusCode,4,AMSI_UNREGISTER_FAILED,crowdstrike_AmsiStatusCode.csv
AndroidManifestFragmentType,1,BROADCAST_RECEIVERS,crowdstrike_AndroidManifestFragmentType.csv
AndroidManifestFragmentType,2,USES_PERMISSIONS,crowdstrike_AndroidManifestFragmentType.csv
AndroidManifestFragmentType,3,SERVICES,crowdstrike_AndroidManifestFragmentType.csv
AndroidManifestFragmentType,4,ACTIVITIES,crowdstrike_AndroidManifestFragmentType.csv
AndroidModuleId,1,CONTAINER,crowdstrike_AndroidModuleId.csv
AndroidModuleId,2,VPN,crowdstrike_AndroidModuleId.csv
AndroidModuleId,3,NETWORK_PREVENTION,crowdstrike_AndroidModuleId.csv
AndroidModuleId,4,NETWORK_DETECTION,crowdstrike_AndroidModuleId.csv
AndroidModuleState,1,DISABLED,crowdstrike_AndroidModuleState.csv
AndroidModuleState,2,ENABLED,crowdstrike_AndroidModuleState.csv
AndroidModuleState,3,PENDING_ACTIVATION,crowdstrike_AndroidModuleState.csv
AndroidModuleState,4,ERROR,crowdstrike_AndroidModuleState.csv
AppPathFlag,0,APP_PATH_INVALID,crowdstrike_AppPathFlag.csv
AppPathFlag,1,DIRECTORY_CUSTOM,crowdstrike_AppPathFlag.csv
AppPathFlag,2,FILE_CUSTOM,crowdstrike_AppPathFlag.csv
AppPathFlag,3,FILE_DISPLAY_ICON,crowdstrike_AppPathFlag.csv
AppPathFlag,4,FILE_UNINSTALL_STRING,crowdstrike_AppPathFlag.csv
AppPathFlag,5,FILE_MODIFY_PATH,crowdstrike_AppPathFlag.csv
AppPathFlag,6,FILE_CLSID_LOCAL_SERVER32,crowdstrike_AppPathFlag.csv
AppPathFlag,7,FILE_CLSID_INPROC_SERVER32,crowdstrike_AppPathFlag.csv
AppPathFlag,8,DIRECTORY_INSTALL_LOCATION,crowdstrike_AppPathFlag.csv
AppPathFlag,9,DIRECTORY_INSTALL_LOCATION_FAILED_MSI,crowdstrike_AppPathFlag.csv
AppPathFlag,10,FILE_MSI_LOCAL_PACKAGE,crowdstrike_AppPathFlag.csv
AppPathFlag,11,FAILED_NO_MSI_FILE,crowdstrike_AppPathFlag.csv
AppPathFlag,12,FAILED_NO_UNINSTALL_INFO,crowdstrike_AppPathFlag.csv
AppPathFlag,13,NOT_AVAILABLE_CUSTOM,crowdstrike_AppPathFlag.csv
AppPathFlag,14,FILESYSTEM_INDEX,crowdstrike_AppPathFlag.csv
AppProvider,0,UNKNOWN,crowdstrike_AppProvider.csv
AppProvider,1,RPM,crowdstrike_AppProvider.csv
AppProvider,2,DPKG,crowdstrike_AppProvider.csv
AppProvider,3,APPLE_MAC_APP_STORE,crowdstrike_AppProvider.csv
AppType,0,TYPE_ALL,crowdstrike_AppType.csv
AppType,1,TYPE_UNINSTALL,crowdstrike_AppType.csv
AppType,2,TYPE_CLSID,crowdstrike_AppType.csv
AppType,3,TYPE_CUSTOM,crowdstrike_AppType.csv
AppType,4,TYPE_APPLE_BUNDLE,crowdstrike_AppType.csv
AppType,1000,TYPE_INVALID,crowdstrike_AppType.csv
AsepClass,0,UNKNOWN,crowdstrike_AsepClass.csv
AsepClass,1,SYSTEM_STARTUP_AUTORUN,crowdstrike_AsepClass.csv
AsepClass,2,SYSTEM_SHUTDOWN_AUTORUN,crowdstrike_AsepClass.csv
AsepClass,3,USER_LOGON_AUTORUN,crowdstrike_AsepClass.csv
AsepClass,4,USER_LOGOFF_AUTORUN,crowdstrike_AsepClass.csv
AsepClass,5,APP_START_AUTORUN,crowdstrike_AsepClass.csv
AsepClass,6,APP_EXTENSION,crowdstrike_AsepClass.csv
AsepClass,7,SERVICE,crowdstrike_AsepClass.csv
AsepClass,8,AUTHENTICATION,crowdstrike_AsepClass.csv
AsepClass,9,CORE_PROCESSES,crowdstrike_AsepClass.csv
AsepClass,10,CUSTOM_PROCESSES,crowdstrike_AsepClass.csv
