eventtype,cim_data_models,tags,search
crowdstrike_asep_key_update,Endpoint.Registry,endpoint registry,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""AsepKeyUpdate"""
crowdstrike_asep_value_update,Endpoint.Registry,endpoint registry,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""AsepValueUpdate"""
crowdstrike_associate_indicator,Alerts.Alerts,alert,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""AssociateIndicator"""
crowdstrike_command_history,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""CommandHistory"""
crowdstrike_create_service,Endpoint.Services,report service,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""CreateService"""
crowdstrike_critical_environment_variable_changed,Change.Account_Changes,account change,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""CriticalEnvironmentVariableChanged"""
crowdstrike_critical_file_accessed,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""CriticalFileAccessed"""
crowdstrike_directory_create,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""DirectoryCreate"""
crowdstrike_dmp_file_written,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""DmpFileWritten"""
crowdstrike_dns_request,Network_Resolution.DNS,dns network resolution,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""DnsRequest"""
crowdstrike_driver_load,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""DriverLoad"""
crowdstrike_elf_file_written,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ELFFileWritten"""
crowdstrike_end_of_process,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""EndOfProcess"""
crowdstrike_executable_deleted,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ExecutableDeleted"""
crowdstrike_file_create_info,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""FileCreateInfo"""
crowdstrike_file_open_info,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""FileOpenInfo"""
crowdstrike_file_rename_info,Change.Endpoint_Changes,change endpoint,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""FileRenameInfo"""
crowdstrike_fs_volume_mounted,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""FsVolumeMounted"""
crowdstrike_host_info,Compute_Inventory.OS,inventory system version,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""HostInfo"""
crowdstrike_hosted_service_started,Endpoint.Services,report service,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""HostedServiceStarted"""
crowdstrike_image_hash,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ImageHash"""
crowdstrike_inctance_metadata,Compute_Inventory.All_Inventory,inventory,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""InstanceMetadata"""
crowdstrike_injected_thread,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""InjectedThread"""
crowdstrike_installed_application,Change.All_Changes,change,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""InstalledApplication"""
crowdstrike_kernel_mode_load_image,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""KernelModeLoadImage"""
crowdstrike_lfo_download_confirmation,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""LFODownloadConfirmation"""
crowdstrike_local_ip_address_ip4,Compute_Inventory.Network,inventory network,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""LocalIpAddressIP4"""
crowdstrike_local_ip_address_ip6,Compute_Inventory.Network,inventory network,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""LocalIpAddressIP6"""
crowdstrike_modify_service_binary,Endpoint.Services,report service,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ModifyServiceBinary"""
crowdstrike_network_close_ip4,Endpoint.Ports,listening port,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NetworkCloseIP4"""
crowdstrike_network_close_ip6,Endpoint.Ports,listening port,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NetworkCloseIP6"""
crowdstrike_network_connect_ip4,Endpoint.Ports,listening port,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NetworkConnectIP4"""
crowdstrike_network_connect_ip6,Endpoint.Ports,listening port,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NetworkConnectIP6"""
crowdstrike_network_listen_ip4,Endpoint.Ports,listening port,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NetworkListenIP4"""
crowdstrike_network_listen_ip6,Endpoint.Ports,listening port,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NetworkListenIP6"""
crowdstrike_network_receive_accept_ip4,Endpoint.Ports,listening port,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NetworkReceiveAcceptIP4"""
crowdstrike_network_receive_accept_ip6,Endpoint.Ports,listening port,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NetworkReceiveAcceptIP6"""
crowdstrike_new_executable_renamed,Change.Endpoint_Changes,change endpoint,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NewExecutableRenamed"""
crowdstrike_new_executable_written,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NewExecutableWritten"""
crowdstrike_new_script_written,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""NewScriptWritten"""
crowdstrike_os_version_info,Compute_Inventory.OS,inventory system version,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""OsVersionInfo"""
crowdstrike_packed_executable_written,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""PackedExecutableWritten"""
crowdstrike_pe_file_written,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""PeFileWritten"""
crowdstrike_pe_version_info,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""PeVersionInfo"""
crowdstrike_privileged_process_handle_from_unsigned_module,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""PrivilegedProcessHandleFromUnsignedModule"""
crowdstrike_process_blocked,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ProcessBlocked"""
crowdstrike_process_rollup2,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ProcessRollup2"""
crowdstrike_process_rollup2_stats,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ProcessRollup2Stats"""
crowdstrike_quarantined_file,Malware.Malware_Attacks,attack data malware,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""QuarantinedFile"""
crowdstrike_quarantined_file_state,Malware.Malware_Attacks,attack malware,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""QuarantinedFileState"""
crowdstrike_rar_file_written,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""RarFileWritten"""
crowdstrike_removable_media_volume_mounted,Endpoint.Filesystem,endpoint filesystem,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""RemovableMediaVolumeMounted"""
crowdstrike_scheduled_task_registered,Endpoint.Services,report service,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ScheduledTaskRegistered"""
crowdstrike_screenshot_taken_etw,Endpoint.Processes,process report,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ScreenshotTakenEtw"""
crowdstrike_script_control_detect_info,Alerts.Alerts,alert,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ScriptControlDetectInfo"""
crowdstrike_script_control_scan_info,Alerts.Alerts,alert,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ScriptControlScanInfo"""
crowdstrike_sensitive_wmi_query,Change.Endpoint_Changes,change endpoint,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""SensitiveWmiQuery"""
crowdstrike_service_started,Endpoint.Services,report service,"sourcetype=""crowdstrike:events:sensor"" AND event_simpleName=""ServiceStarted"""
