sourcetype,kind,cim_field,fdr_field,events,detail
crowdstrike:events:external,LOOKUP,appinfo_company_name,SHA256HashData,,LOOKUP-crowdstrike_ta_appinfo_resolution_for_security_events via crowdstrike_ta_build_appinfo_resolution_lookup (CompanyName)
crowdstrike:events:external,LOOKUP,appinfo_detection_count,SHA256HashData,,LOOKUP-crowdstrike_ta_appinfo_resolution_for_security_events via crowdstrike_ta_build_appinfo_resolution_lookup (detectionCount)
crowdstrike:events:external,LOOKUP,appinfo_file_description,SHA256HashData,,LOOKUP-crowdstrike_ta_appinfo_resolution_for_security_events via crowdstrike_ta_build_appinfo_resolution_lookup (FileDescription)
crowdstrike:events:external,LOOKUP,appinfo_file_name,SHA256HashData,,LOOKUP-crowdstrike_ta_appinfo_resolution_for_security_events via crowdstrike_ta_build_appinfo_resolution_lookup (FileName)
crowdstrike:events:external,LOOKUP,appinfo_file_version,SHA256HashData,,LOOKUP-crowdstrike_ta_appinfo_resolution_for_security_events via crowdstrike_ta_build_appinfo_resolution_lookup (FileVersion)
crowdstrike:events:external,LOOKUP,appinfo_product_name,SHA256HashData,,LOOKUP-crowdstrike_ta_appinfo_resolution_for_security_events via crowdstrike_ta_build_appinfo_resolution_lookup (ProductName)
crowdstrike:events:external,LOOKUP,appinfo_product_version,SHA256HashData,,LOOKUP-crowdstrike_ta_appinfo_resolution_for_security_events via crowdstrike_ta_build_appinfo_resolution_lookup (ProductVersion)
crowdstrike:events:sensor,LOOKUP,AccessoryConnectionType_meaning,AccessoryConnectionType,,LOOKUP-crowdstrike_ta_AccessoryConnectionType via crowdstrike_ta_lookup_AccessoryConnectionType (AccessoryConnectionType_meaning)
crowdstrike:events:sensor,LOOKUP,AccountStatus_meaning,AccountStatus,,LOOKUP-crowdstrike_ta_AccountStatus via crowdstrike_ta_lookup_AccountStatus (AccountStatus_meaning)
crowdstrike:events:sensor,LOOKUP,ActiveDirectoryAuditActionType_meaning,ActiveDirectoryAuditActionType,,LOOKUP-crowdstrike_ta_ActiveDirectoryAuditActionType via crowdstrike_ta_bitmask_lookup_ActiveDirectoryAuditActionType (result)
crowdstrike:events:sensor,LOOKUP,ActiveDirectoryGroupScopeWrite_meaning,ActiveDirectoryGroupScopeWrite,,LOOKUP-crowdstrike_ta_ActiveDirectoryGroupScopeWrite via crowdstrike_ta_bitmask_lookup_ActiveDirectoryGroupScopeWrite (result)
crowdstrike:events:sensor,LOOKUP,AllocationType_meaning,AllocationType,,LOOKUP-crowdstrike_ta_AllocationType via crowdstrike_ta_lookup_AllocationType (AllocationType_meaning)
crowdstrike:events:sensor,LOOKUP,AmsiRegistrationState_meaning,AmsiRegistrationState,,LOOKUP-crowdstrike_ta_AmsiRegistrationState via crowdstrike_ta_lookup_AmsiRegistrationState (AmsiRegistrationState_meaning)
crowdstrike:events:sensor,LOOKUP,AmsiStatusCode_meaning,AmsiStatusCode,,LOOKUP-crowdstrike_ta_AmsiStatusCode via crowdstrike_ta_lookup_AmsiStatusCode (AmsiStatusCode_meaning)
crowdstrike:events:sensor,LOOKUP,AndroidManifestFragmentType_meaning,AndroidManifestFragmentType,,LOOKUP-crowdstrike_ta_AndroidManifestFragmentType via crowdstrike_ta_lookup_AndroidManifestFragmentType (AndroidManifestFragmentType_meaning)
crowdstrike:events:sensor,LOOKUP,AndroidModuleId_meaning,AndroidModuleId,,LOOKUP-crowdstrike_ta_AndroidModuleId via crowdstrike_ta_lookup_AndroidModuleId (AndroidModuleId_meaning)
crowdstrike:events:sensor,LOOKUP,AndroidModuleState_meaning,AndroidModuleState,,LOOKUP-crowdstrike_ta_AndroidModuleState via crowdstrike_ta_lookup_AndroidModuleState (AndroidModuleState_meaning)
crowdstrike:events:sensor,LOOKUP,AntiTamperStateFlag_meaning,AntiTamperStateFlag,,LOOKUP-crowdstrike_ta_AntiTamperStateFlag via crowdstrike_ta_bitmask_lookup_AntiTamperStateFlag (result)
crowdstrike:events:sensor,LOOKUP,AppPathFlag_meaning,AppPathFlag,,LOOKUP-crowdstrike_ta_AppPathFlag via crowdstrike_ta_lookup_AppPathFlag (AppPathFlag_meaning)
crowdstrike:events:sensor,LOOKUP,AppProvider_meaning,AppProvider,,LOOKUP-crowdstrike_ta_AppProvider via crowdstrike_ta_lookup_AppProvider (AppProvider_meaning)
crowdstrike:events:sensor,LOOKUP,AppType_meaning,AppType,,LOOKUP-crowdstrike_ta_AppType via crowdstrike_ta_lookup_AppType (AppType_meaning)
crowdstrike:events:sensor,LOOKUP,AsepClass_meaning,AsepClass,,LOOKUP-crowdstrike_ta_AsepClass via crowdstrike_ta_lookup_AsepClass (AsepClass_meaning)
crowdstrike:events:sensor,LOOKUP,AsepFlags_meaning,AsepFlags,,LOOKUP-crowdstrike_ta_AsepFlags via crowdstrike_ta_bitmask_lookup_AsepFlags (result)
crowdstrike:events:sensor,LOOKUP,AsepValueType_meaning,AsepValueType,,LOOKUP-crowdstrike_ta_AsepValueType via crowdstrike_ta_lookup_AsepValueType (AsepValueType_meaning)
crowdstrike:events:sensor,LOOKUP,AssemblyFlags_meaning,AssemblyFlags,,LOOKUP-crowdstrike_ta_AssemblyFlags via crowdstrike_ta_bitmask_lookup_AssemblyFlags (result)
