table,field
CSPM IOA (cloud attack indicator),account
CSPM IOA (cloud attack indicator),attack_types
CSPM IOA (cloud attack indicator),aws_account_id
CSPM IOA (cloud attack indicator),cid
CSPM IOA (cloud attack indicator),cloud_provider
CSPM IOA (cloud attack indicator),cloud_region
CSPM IOA (cloud attack indicator),cloud_service_friendly
CSPM IOA (cloud attack indicator),cloudplatform
CSPM IOA (cloud attack indicator),event-type
CSPM IOA (cloud attack indicator),event_category
CSPM IOA (cloud attack indicator),event_created
CSPM IOA (cloud attack indicator),event_id
CSPM IOA (cloud attack indicator),event_name
CSPM IOA (cloud attack indicator),event_source
CSPM IOA (cloud attack indicator),event_type
CSPM IOA (cloud attack indicator),management_event
CSPM IOA (cloud attack indicator),mitre_attack_tactic
CSPM IOA (cloud attack indicator),mitre_attack_technique
CSPM IOA (cloud attack indicator),policy_description
CSPM IOA (cloud attack indicator),policy_id
CSPM IOA (cloud attack indicator),policy_severity
CSPM IOA (cloud attack indicator),policy_statement
CSPM IOA (cloud attack indicator),read_only
CSPM IOA (cloud attack indicator),request_id
CSPM IOA (cloud attack indicator),request_parameters
CSPM IOA (cloud attack indicator),response_elements
CSPM IOA (cloud attack indicator),service
CSPM IOA (cloud attack indicator),source_ip_address
CSPM IOA (cloud attack indicator),user_agent
CSPM IOA (cloud attack indicator),user_identity_access_key_id
CSPM IOA (cloud attack indicator),user_identity_account_id
CSPM IOA (cloud attack indicator),user_identity_arn
CSPM IOA (cloud attack indicator),user_identity_mfa_authenticated
CSPM IOA (cloud attack indicator),user_identity_principal_id
CSPM IOA (cloud attack indicator),user_identity_user_name
CSPM IOA (cloud attack indicator),vertex_id
CSPM IOA (cloud attack indicator),vertex_type
CSPM IOM (cloud misconfiguration),AccountId
CSPM IOM (cloud misconfiguration),CloudPlatform
CSPM IOM (cloud misconfiguration),CloudService
CSPM IOM (cloud misconfiguration),Disposition
CSPM IOM (cloud misconfiguration),Finding
CSPM IOM (cloud misconfiguration),PolicyId
CSPM IOM (cloud misconfiguration),PolicyStatement
CSPM IOM (cloud misconfiguration),Region
CSPM IOM (cloud misconfiguration),ResourceAttributes
CSPM IOM (cloud misconfiguration),ResourceAttributes.Enable Resource Name A Record
CSPM IOM (cloud misconfiguration),ResourceAttributes.IPv6 Native
CSPM IOM (cloud misconfiguration),ResourceCreateTime
CSPM IOM (cloud misconfiguration),ResourceId
CSPM IOM (cloud misconfiguration),ResourceIdType
CSPM IOM (cloud misconfiguration),ResourceUrl
CSPM IOM (cloud misconfiguration),Severity
CSPM IOM (cloud misconfiguration),Tags
CSPM IOM (cloud misconfiguration),aws_account_id
CSPM IOM (cloud misconfiguration),cid
CSPM IOM (cloud misconfiguration),cis_benchmark_ids
CSPM IOM (cloud misconfiguration),cisa_benchmark_ids
CSPM IOM (cloud misconfiguration),cloud_asset_type
CSPM IOM (cloud misconfiguration),cloudplatform
CSPM IOM (cloud misconfiguration),disposition
CSPM IOM (cloud misconfiguration),event-type
CSPM IOM (cloud misconfiguration),finding
CSPM IOM (cloud misconfiguration),internal_only
CSPM IOM (cloud misconfiguration),iso_benchmark_ids
CSPM IOM (cloud misconfiguration),mitre_attack_tactics_name
CSPM IOM (cloud misconfiguration),mitre_attack_tactics_url
CSPM IOM (cloud misconfiguration),mitre_attack_techniques_name
CSPM IOM (cloud misconfiguration),mitre_attack_techniques_url
CSPM IOM (cloud misconfiguration),nist_benchmark_ids
CSPM IOM (cloud misconfiguration),pci_benchmark_ids
CSPM IOM (cloud misconfiguration),policy_id
CSPM IOM (cloud misconfiguration),policy_severity
CSPM IOM (cloud misconfiguration),policy_statement
CSPM IOM (cloud misconfiguration),region
CSPM IOM (cloud misconfiguration),resource_url
CSPM IOM (cloud misconfiguration),service
CSPM IOM (cloud misconfiguration),soc2_benchmark_ids
CSPM IOM (cloud misconfiguration),tags
ZTA assessment scores,FileContent
ZTA assessment scores,aid
ZTA assessment scores,assessments
ZTA assessment scores,assessments.analytics_and_improvements_mac
ZTA assessment scores,assessments.application_firewall_mac
ZTA assessment scores,assessments.crendential_dumping_hash_mac
ZTA assessment scores,assessments.crendential_dumping_kcpassword_mac
ZTA assessment scores,assessments.crowdstrike_full_disk_access
ZTA assessment scores,assessments.execution_blocking_custom_blocking_enabled_mac
ZTA assessment scores,assessments.execution_blocking_intel_threats_enabled_mac
ZTA assessment scores,assessments.execution_blocking_suspicious_processes_enabled_mac
ZTA assessment scores,assessments.file_vault_enabled_mac
ZTA assessment scores,assessments.gatekeeper_mac
ZTA assessment scores,assessments.internet_sharing_mac
ZTA assessment scores,assessments.mac_os_version
ZTA assessment scores,assessments.ml_adware_detection_mac
ZTA assessment scores,assessments.ml_adware_prevention_mac
ZTA assessment scores,assessments.ml_cloud_antimalware_detection_mac
ZTA assessment scores,assessments.ml_cloud_antimalware_prevention_mac
ZTA assessment scores,assessments.ml_sensor_adware_and_pup_detection_mac
ZTA assessment scores,assessments.ml_sensor_adware_and_pup_prevention_mac
ZTA assessment scores,assessments.ml_sensor_antimalware_detection_mac
ZTA assessment scores,assessments.ml_sensor_antimalware_prevention_mac
ZTA assessment scores,assessments.quarantine_mac
ZTA assessment scores,assessments.real_time_response_enabled_mac
ZTA assessment scores,assessments.remote_login_mac
ZTA assessment scores,assessments.script_based_execution_monitoring_mac
