event_simpleName,field,sample_events_seen
AccessoryConnected,AccessoryConnectionType,1
AccessoryConnected,ComputerName,1
AccessoryConnected,ConfigBuild,1
AccessoryConnected,ConfigStateHash,1
AccessoryConnected,ContextTimeStamp,1
AccessoryConnected,DeviceInstanceId,1
AccessoryConnected,DeviceManufacturer,1
AccessoryConnected,DeviceProduct,1
AccessoryConnected,DevicePropertyFriendlyName,1
AccessoryConnected,EffectiveTransmissionClass,1
AccessoryConnected,Entitlements,1
AccessoryConnected,EventOrigin,1
AccessoryConnected,SerialNumber,1
AccessoryConnected,aid,1
AccessoryConnected,aip,1
AccessoryConnected,cid,1
AccessoryConnected,event_platform,1
AccessoryConnected,event_simpleName,1
AccessoryConnected,id,1
AccessoryConnected,name,1
AccessoryConnected,timestamp,1
ActiveDirectoryAccountCreated,AccountDomain,1
ActiveDirectoryAccountCreated,AccountObjectGuid,1
ActiveDirectoryAccountCreated,AccountObjectSid,1
ActiveDirectoryAccountCreated,ContextTimeStamp,1
ActiveDirectoryAccountCreated,SamAccountName,1
ActiveDirectoryAccountCreated,aid,1
ActiveDirectoryAccountCreated,aip,1
ActiveDirectoryAccountCreated,cid,1
ActiveDirectoryAccountCreated,event_platform,1
ActiveDirectoryAccountCreated,event_simpleName,1
ActiveDirectoryAccountCreated,id,1
ActiveDirectoryAccountCreated,name,1
ActiveDirectoryAccountCreated,timestamp,1
AdditionalHostInfo,ConfigBuild,1
AdditionalHostInfo,ConfigStateHash,1
AdditionalHostInfo,EffectiveTransmissionClass,1
AdditionalHostInfo,Entitlements,1
AdditionalHostInfo,ErrorCode,1
AdditionalHostInfo,EventOrigin,1
AdditionalHostInfo,LocalAddressIP4,1
AdditionalHostInfo,UserName,1
AdditionalHostInfo,UserPrincipal,1
AdditionalHostInfo,aid,1
AdditionalHostInfo,aip,1
AdditionalHostInfo,cid,1
AdditionalHostInfo,event_platform,1
AdditionalHostInfo,event_simpleName,1
AdditionalHostInfo,id,1
AdditionalHostInfo,name,1
AdditionalHostInfo,timestamp,1
AgentConnect,ConfigBuild,1
AgentConnect,ConfigIDBase,1
AgentConnect,ConfigIDBuild,1
AgentConnect,ConfigIDPlatform,1
AgentConnect,ConfigStateHash,1
AgentConnect,ConfigurationVersion,1
