field,type,description
AccessoryConnectionType,keyword,
AccessType,keyword,
AccountDomain,match_only_text,
AccountObjectGuid,match_only_text,
AccountObjectSid,match_only_text,
AccountType,keyword,
ActionBlocked,keyword,
ActiveCpuCount,long,
ActiveDirectoryAuthenticationMethod,keyword,
ActivityId,keyword,
AddressFamily,keyword,
AdminStatus,keyword,
AgenticDataSource,keyword,
AgenticHookVersion,keyword,
AgenticModel,keyword,
AgenticProduct,keyword,
AgenticSessionId,keyword,
AgenticWorkingDirectory,keyword,
AgentIdString,keyword,
AgentLoadFlags,keyword,
AgentLocalTime,date,
AgentTimeOffset,float,
AgentType,keyword,
AgentVersion,keyword,
AggregateId,keyword,
aid,keyword,
aipCount,integer,
AllocateVirtualMemoryCount,long,
AllowlistingFilterId,keyword,
AnodeIndicators,nested,
AntiTamperStateFlag,keyword,
ApiReturnValue,keyword,
ApplicationName,match_only_text,
ArchiveFileWrittenCount,long,
AsepClass,keyword,
AsepFlags,keyword,
AsepIndex,keyword,
AsepValueType,keyword,
AsepWrittenCount,long,
AssemblyFlags,keyword,
AssemblyId,keyword,
AssemblyName,keyword,
AssessedFileName,keyword,
assessments,flattened,
AssociatedFile,keyword,
attack_types,keyword,
Attacks.Tactic,keyword,
Attacks.Technique,keyword,
AttemptNumber,long,
AuthenticationActivityId,keyword,
AuthenticationId,keyword,
AuthenticationPackage,keyword,
AuthenticationUuid,keyword,
AuthenticationUuidAsString,keyword,
AuthenticodeHashData,keyword,
AuthenticodeHashDataSHA1,keyword,
AuthenticodeHashDataSHA256,keyword,
AuthenticodeSignatureFlags,keyword,
AvailableDiskSpace,keyword,
AverageCpuUsage,keyword,
AverageUsedRam,keyword,
aws_account_id,keyword,
AwsImageId,keyword,
AwsInstanceId,keyword,
AwsInstanceName,keyword,
AwsInstanceState,keyword,
AwsInstanceType,keyword,
AwsOwnerId,keyword,
AwsPrivateIPAddress,keyword,
AwsPublicIpAddress,keyword,
AwsRegion,keyword,
AwsSubnetId,keyword,
AwsVpcId,keyword,
AzureIpAddress,keyword,
AzureIpConfigurationId,keyword,
AzureIpConfigurationName,keyword,
AzureLocation,keyword,
AzurePrivateIpAddress,keyword,
AzureResourceGroup,keyword,
AzureResourceId,keyword,
AzureSubscriptionId,keyword,
AzureVmId,keyword,
AzureVMName,keyword,
AzureVMSize,keyword,
BaseFileName,keyword,
BaseModuleName,keyword,
BaseReachableTime,keyword,
BatchDataNumber,keyword,
BatchDataTotal,keyword,
BatchTimestamp,date,
BillingType,keyword,
BinaryExecutableWrittenCount,long,
BiosChanged,match_only_text,
BiosManufacturer,keyword,
BiosReleaseDate,date,
BiosVersion,keyword,
BluetoothClassOfDeviceValue,match_only_text,
BluetoothDeviceAddress,keyword,
BluetoothDeviceAddressType,keyword,
BluetoothDeviceAppearanceValue,match_only_text,
BluetoothDeviceModelNumber,match_only_text,
BluetoothDeviceName,match_only_text,
BluetoothDeviceType,keyword,
BluetoothServiceName_1,match_only_text,
BluetoothServiceName_3,match_only_text,
BluetoothServiceName_4,match_only_text,
BluetoothServiceName_5,match_only_text,
BluetoothServiceName_6,match_only_text,
BluetoothServiceName_7,match_only_text,
BluetoothServiceName_8,match_only_text,
BluetoothServiceUuid_1,match_only_text,
BluetoothServiceUuid_2,match_only_text,
BluetoothServiceUuid_3,match_only_text,
BluetoothServiceUuid_4,match_only_text,
BluetoothServiceUuid_5,match_only_text,
BluetoothServiceUuid_6,match_only_text,
BluetoothServiceUuid_7,match_only_text,
BluetoothServiceUuid_8,match_only_text,
BluetoothServiceUuidArray,match_only_text,
BluetoothVendorIdSource,match_only_text,
BootArgs,keyword,
BootTimeFunctionalityLevel,keyword,
BoundedCount,long,
BoundingLimitCount,long,
BoundingLimitDuration,keyword,
BrowserExtensionId,keyword,
BrowserExtensionInstallMethod,keyword,
BrowserExtensionStatusEnabled,keyword,
BrowserFileHash,keyword,
BrowserFilePath,keyword,
